iter	Logloss	Accuracy
524	0.2097587501	0.9424157303
525	0.20953005	0.9424157303
526	0.2093969656	0.9424157303
527	0.2092165757	0.9424157303
528	0.2091129902	0.9424157303
529	0.2090307662	0.9424157303
530	0.2089475089	0.9424157303
531	0.2087328158	0.9424157303
532	0.2084859943	0.9452247191
533	0.2083534261	0.9452247191
534	0.2074634632	0.9452247191
535	0.2067988056	0.9452247191
536	0.2063836367	0.9466292135
537	0.2063088591	0.9452247191
538	0.2061560187	0.9466292135
539	0.205878013	0.9452247191
540	0.2057373108	0.9452247191
541	0.205371798	0.9466292135
542	0.2050422065	0.9466292135
543	0.2048531038	0.9466292135
544	0.2045857329	0.9466292135
545	0.2045643317	0.9466292135
546	0.2042009218	0.9466292135
547	0.2040528736	0.9466292135
548	0.204018724	0.9466292135
549	0.2035961599	0.9466292135
550	0.2033473473	0.9466292135
551	0.2031551571	0.9466292135
552	0.2030222368	0.9466292135
553	0.2028627862	0.9466292135
554	0.2028121911	0.9466292135
555	0.202794171	0.9466292135
556	0.2027871104	0.9466292135
557	0.2026926718	0.9466292135
558	0.202519433	0.9452247191
559	0.2022814092	0.9466292135
560	0.2019643863	0.9466292135
561	0.2018113817	0.9466292135
562	0.2015590065	0.9466292135
563	0.2015512684	0.9466292135
564	0.2014887108	0.9466292135
565	0.2014761398	0.9466292135
566	0.2009699638	0.9466292135
567	0.2006875346	0.9466292135
568	0.1998388848	0.9466292135
569	0.1997568477	0.9466292135
570	0.1991674819	0.9466292135
571	0.1990348963	0.9466292135
572	0.1988147602	0.9480337079
573	0.1986960634	0.9480337079
574	0.1984078317	0.9480337079
575	0.1982066656	0.9494382022
576	0.1981310347	0.9494382022
577	0.1977655878	0.9494382022
578	0.1976229444	0.9480337079
579	0.1975927306	0.9494382022
580	0.1974350705	0.9494382022
581	0.1972038012	0.9480337079
582	0.1971200341	0.9480337079
583	0.1970294621	0.9480337079
584	0.1969478598	0.9480337079
585	0.1967789656	0.9480337079
586	0.1965002048	0.9494382022
587	0.1963339286	0.9494382022
588	0.1961807796	0.9494382022
589	0.1957130864	0.9494382022
590	0.1955973512	0.9494382022
591	0.1953273208	0.9508426966
592	0.1950293754	0.95084269665593	0.1947728704	0.95084269665594	0.1942772101	0.95084269665595	0.1940528051	0.952247191
596	0.1938537694	0.952247191
597	0.1937447699	0.952247191
598	0.193613237	0.952247191
599	0.1934270096	0.952247191
600	0.1932211093	0.952247191
601	0.1928654067	0.952247191
602	0.1926881186	0.952247191
603	0.1921594788	0.9536516854
604	0.1920090887	0.9536516854
605	0.1919098396	0.9536516854
606	0.191846655	0.9536516854
607	0.1916387723	0.9536516854
608	0.1913220619	0.9536516854
609	0.1911921005	0.9536516854
610	0.1911281207	0.9536516854
611	0.1910750777	0.9536516854
612	0.1910097339	0.9536516854
613	0.1905205131	0.9536516854
614	0.1902445364	0.9536516854
615	0.1900522814	0.9536516854
616	0.1895020666	0.9536516854
617	0.1893560962	0.9536516854
618	0.1892922737	0.9536516854
619	0.1891254428	0.9536516854
620	0.18880667	0.9536516854
621	0.1884863932	0.9550561798
622	0.1882604745	0.9550561798
623	0.1879944479	0.9550561798
624	0.1879030371	0.9550561798
625	0.1875085599	0.9550561798
626	0.1874455649	0.9550561798
627	0.1874149436	0.9550561798
628	0.1873883839	0.9550561798
629	0.1870435428	0.9550561798
630	0.1869272133	0.9550561798
631	0.1868410993	0.9550561798
632	0.1865920673	0.9550561798
633	0.1864286813	0.9550561798
634	0.1863250049	0.9550561798
635	0.1858603793	0.9550561798
636	0.1857577559	0.9550561798
637	0.1856246691	0.9550561798
638	0.1853277231	0.9550561798
639	0.1852417288	0.9550561798
640	0.1851603537	0.9550561798
641	0.1849279223	0.9550561798
642	0.1848868649	0.9550561798
643	0.1845007008	0.9550561798
644	0.1843995606	0.9550561798
645	0.1842194547	0.9550561798
646	0.1840847163	0.9550561798
647	0.1839556914	0.9550561798
648	0.1838856706	0.9550561798
649	0.1837320328	0.9550561798
650	0.1836153965	0.9550561798
651	0.1835491835	0.9550561798
652	0.1833770915	0.9550561798
653	0.1832831406	0.9550561798
654	0.1831946667	0.9550561798
655	0.1830469371	0.9550561798
656	0.1829678817	0.9550561798
657	0.182954219	0.9550561798
658	0.1828920448	0.9550561798
659	0.1828283414	0.9550561798
660	0.1827500492	0.9550561798
661	0.18274144	0.9550561798
662	0.1825810216	0.9550561798
663	0.1824260212	0.9550561798
664	0.182277534	0.9550561798
665	0.1815860362	0.9550561798
666	0.1815466002	0.9550561798
667	0.1814401384	0.9550561798
668	0.1811541316	0.9550561798
669	0.1810257683	0.9550561798
670	0.1804691743	0.9550561798
671	0.18017657	0.9550561798
672	0.1800126987	0.9550561798
673	0.1796954315	0.9564606742
674	0.1795535094	0.9564606742
675	0.1792287389	0.9564606742
676	0.1790830719	0.9564606742
677	0.1789052438	0.9564606742
678	0.1786907193	0.9564606742
679	0.1786182696	0.9564606742
680	0.1785184098	0.9564606742
681	0.1784007198	0.9564606742
682	0.1783832259	0.9564606742
683	0.178064439	0.9564606742
684	0.1779658445	0.9564606742
685	0.1779355649	0.9564606742
686	0.1778417803	0.9564606742
687	0.1777585346	0.9578651685
688	0.1776393031	0.9578651685
689	0.1773846118	0.9578651685
690	0.1772723246	0.9578651685
691	0.1769979457	0.9578651685
692	0.1768818676	0.9592696629
693	0.1762414677	0.9592696629
694	0.1761019518	0.9592696629
695	0.1757625509	0.9592696629
696	0.1755880566	0.9592696629
697	0.1754118744	0.9592696629
698	0.1753475716	0.9592696629
699	0.1751618391	0.9592696629
700	0.1749491351	0.9592696629
701	0.1747831139	0.9592696629
702	0.1747400176	0.9592696629
703	0.1746407159	0.9592696629
704	0.174427561	0.9592696629
705	0.1744205239	0.9592696629
706	0.1743469606	0.9592696629
707	0.1742661905	0.9592696629
708	0.1740454721	0.9592696629
709	0.1738661777	0.9592696629
710	0.1737732978	0.9592696629
711	0.1735750612	0.9592696629
712	0.1731880193	0.9592696629
713	0.1729565622	0.9592696629
714	0.1728146387	0.9592696629
715	0.1725968646	0.9592696629
716	0.172575588	0.9592696629
717	0.1724557614	0.9592696629
718	0.1721763959	0.9592696629
719	0.1720995283	0.9592696629
